EMP_CODE,ORG_NAME,ORG_CITY,EMP_PER_OUTLET,ORG_TYPE,EXPANSION,RECONCILIATION,WHY_NO_POS,LANGUAGE_PREF,PAYMENT_PREF,PAYMENT_AMOUNT,INTERNET_ACCESS,INTERNET_PROVIDER,INTERNET_DISRUPTION,DEPLOYMENT_PREF,BUSINESS_IMPROVEMENT,STORE_CUST_DATA,OFFER_DISCOUNTS,COMPETITIVE_ADVANTAGE,ORG_CITY_CLEAN
34314,Al feroz men's wear,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (35000),No,Na,No internet,Standalone,No,No,No,No,RWP
34314,kashif Garments,Rawalpindi,Less than 5,Single Outlet,Yes,No,"I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Yearly plan, (35000),No,No Internet,No internet,Standalone,Yes,Yes,Yes,No,RWP
34314,Rockstar Garments,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Yearly plan, (40000),No,Na,No internet,Standalone,No,No,No,No,RWP
34314,Sadiq Son's photostate & stationers,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (35000),Yes,Nayatel,Sometimes,Standalone,No,No,Yes,No,RWP
34314,Al Rehman Store,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (60000),Yes,PTCL,Little,Standalone,Yes,Yes,Yes,No,RWP
34314,Al Hassan Gift & Toys,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
34314,Ahsan International baig house,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,Na,Little,Standalone,No,No,No,No,RWP
34314,Saqib Brother with uniform & Garments,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (40000),No,Na,No internet,Standalone,No,No,Yes,No,RWP
34314,Ghalib Garments,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I don't know,"Both, English & Urdu",Yearly plan, (40000),No,Na,No internet,Standalone,No,No,No,No,RWP
34314,Baba Khusa,Rawalpindi,Less than 5,Multiple outlets,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,Na,No internet,Standalone,No,No,No,No,RWP
30859,Iram pak dry cleaner,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (3000),Yes,Ptcl,Never,Web-based,Yes,Yes,Yes,Yes,ISL
30859,Satti general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Monthly recurring, (1000),No,No internet,No internet,Web-based,Yes,No,Yes,Yes,ISL
30859,Pak kashmir general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),No,No internet,No internet,Web-based,Yes,No,Yes,Yes,ISL
30859,Qureshi gas filling center,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Little,Web-based,Yes,No,Yes,Yes,ISL
30859,Bismillah bakers and genral store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
30859,Bismillah milk shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
30859,Bhatti hair dresser,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
30859,Mandi bhauddin general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (5000),Yes,Sim data,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
30859,Pakistan general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, It never crossed my mind to have such a system","Both, English & Urdu",Monthly recurring, (3000),No,No internet,No internet,Web-based,No,No,Yes,Yes,ISL
36585,zain,islamabad,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yesrly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
36750,The Engineers,Rawalpindi,More than 10,Multiple outlets,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,Nayatel,Never,Web-based,Yes,Yes,Yes,Yes,RWP
36585,WASEEM AKATAR,islamabad,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,No,Yes,ISL
36585,hamza,rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),No,no,No internet,Web-based,Yes,No,Yes,Yes,RWP
36585,haziq,rawalpindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,Yes,RWP
33940,Strat trader,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (N/A),No,N/A,No internet,Standalone,Yes,No,No,Yes,KHI
33940,Rahmani,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (Na),No,n/a,Never,Standalone,Yes,No,No,Yes,KHI
33940,Alim,Karachi,Less than 5,Single Outlet,Yes,Yes,I don't know,Urdu,Onetime payment, (n/a),No,Na,Never,Standalone,No,No,No,No,KHI
33940,Alal bakrs & clod,Karachi,More than 5 but less than 10,Single Outlet,Yes,No,I don't know,Urdu,Monthly recurring, (Credit),No,N/a,No internet,Standalone,No,No,No,Yes,KHI
36585,SAFDAR ALI,islamabad,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,Yes,ISL
33940,Mari barks,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,Urdu,Onetime payment, (N/A),No,Not available,No internet,Standalone,No,No,No,Yes,KHI
33940,Al Madina bakri,Karachi,Less than 5,Single Outlet,Yes,Yes,"I don't know, It never crossed my mind to have such a system",Urdu,Onetime payment, (n/a),No,Not available,No internet,Standalone,No,No,No,No,KHI
37472,islamabad jrnal stor,islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (monthly),No,not use net,No internet,Standalone,No,No,Yes,No,ISL
37472,grace fabric,islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (monthly),Yes,not use net,No internet,Standalone,No,No,Yes,No,ISL
37472,zahid paint hardver,rawalpindi,Less than 5,Single Outlet,No,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (monthly),No,not use,No internet,Standalone,Yes,Yes,Yes,No,RWP
32117,First Choice,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Monthly recurring,,No,No Internet,No internet,Web-based,No,No,No,No,KHI
37472,saqib medical store,rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (monthly pyment),No,not use net,No internet,Standalone,Yes,No,Yes,No,RWP
37472,ayaan paint shop,rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (monthly),No,not net,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
37472,human care pharmacy,rawalpindi,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Monthly recurring, (monthly),No,not use net,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
37472,new apular paint,rawalpindi,Less than 5,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, Tax purposes",English,Monthly recurring, (monthly easy pyment),No,not use,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
37472,new almadina chemist,rawalpindi near banzeer hospital,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (monthly),Yes,wifi net,Little,Standalone,Yes,Yes,Yes,Yes,RWP
37472,reman chemist,rawalpindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Monthly recurring, (monthly),Yes,nayatel,Never,Standalone,Yes,No,No,Yes,RWP
37472,ali lab,rawalpindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Monthly recurring, (monthly),Yes,ptcl,Never,Standalone,Yes,Yes,Yes,Yes,RWP
36585,sardar zeshan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,faruq shah,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,sardar fahad,rawal pindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,sherbaz khan,rawal pindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Yearly plan, (yearly),No,no,No internet,Web-based,No,No,Yes,No,RWP
36585,azan khan,rawar pindi,Less than 5,Single Outlet,Yes,No,It never crossed my mind to have such a system,Urdu,Yearly plan, (yearly),No,no,No internet,Web-based,No,No,Yes,Yes,RWP
36585,saqline,rawar pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Monthly recurring, (monthly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,jabbar shah,rawAr pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yealy),Yes,data,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,azhar shah,rawal pindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,Yes,RWP
36585,aslam khan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,jumma khan,rawal pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,Yes,Yes,Yes,RWP
36585,musawar,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,shameeer ali,rAwar pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,mazhar gujjar,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,malik ahmad,rawal pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,No,Yes,RWP
